"author_handle","likes","mentions","permalink","shares","source_favorites","source_followers","source_following","tags","main"
"misterblueb","0.0","","https://www.twitter.com/misterblueb/status/996785323823828993","0.0","695.0","123","583.0","['abeilles']","On a tous conscience qu'il dira exactement la même chose lorsque les colonies s'effondreront. Et que c'est peut-être deja le cas, mais qu'il anonne sans fin son bréviaire productiviste. #abeilles"
"Zehub","0.0","","https://www.twitter.com/Zehub/status/995997835974856704","0.0","1446.0","6184","615.0","['Ariège', 'abeilles', 'phytosanitaires', 'épandage']","#Ariège: Après avoir perdu deux millions d’#abeilles à cause d’un #épandage, il se mobilise contre les #phytosanitaires https://www.20minutes.fr/planete/2270415-20180514-ariege-apres-avoir-perdu-deux-millions-abeilles-cause-epandage-mobilise-contre-phytosanitaires?utm_medium=social&utm_source=twitter#xtor=RSS-149 …"
"FondationNH","1.0","","https://www.twitter.com/FondationNH/status/995965309046738950","2.0","0.0","0","0.0","['StopPesticides', 'abeilles']","Effondrement des colonies d’ #abeilles : nous appelons le gouvernement à prendre des mesures d’urgence #StopPesticides"
"olidebxl","0.0","['rtbfinfo']","https://www.twitter.com/olidebxl/status/996006003522105344","0.0","323.0","1220","2005.0","['abeilles', 'miel', 'plantes', 'ruche', 'ruches']","Des traces d'insecticides dans les #plantes qui ornent nos jardins https://www.rtbf.be/info/regions/liege/detail_des-traces-d-insecticides-dans-les-plantes-qui-ornent-nos-jardins?id=9917120&utm_source=rtbfinfo&utm_campaign=social_share&utm_medium=twitter_share … via @rtbfinfo #ruches #abeilles #ruche #miel"
"GerardDupin","0.0","['20minutes']","https://www.twitter.com/GerardDupin/status/996054408323575810","0.0","6499.0","2349","5003.0","['Ariège', 'abeilles', 'agriculture', 'fnsea', 'pesticides', 'travert']","En #Ariège, un épandage décime deux millions d’#abeilles en une journée https://www.20minutes.fr/planete/2270415-20180514-ariege-apres-avoir-perdu-deux-millions-abeilles-cause-epandage-mobilise-contre-phytosanitaires … via @20minutes #pesticides #agriculture #fnsea #travert"
"Sansouate","0.0","","https://www.twitter.com/Sansouate/status/996177180181909511","0.0","3695.0","850","761.0","['abeilles', 'agriculture', 'pesticide']","Un couple d’apiculteurs de l’Estrie a perdu 80% de leurs abeilles à cause des mites de l’hiver. Les inquiétudes relatives à la disparition d’#abeilles......ne sont pas des mythes. #agriculture #pesticide Mon blogue sur l’actualité : https://lessansouate.blogspot.ca/ "
"LaCroix","1.0","","https://www.twitter.com/LaCroix/status/997130294275854337","0.0","164.0","41139","244.0","['ProduitPhytosanitaire', 'abeilles', 'pesticide']","La justice européenne confirme l’interdiction de certains néonicotinoïdes. #pesticide #ProduitPhytosanitaire #abeilles"
"universitelaval","1.0","","https://www.twitter.com/universitelaval/status/997164265709633536","0.0","6741.0","25743","2101.0","['abeilles', 'santé']","Une percée importante pour la #santé des #abeilles http://bit.ly/2KxvrNH "
"olivierbapteste","0.0","","https://www.twitter.com/olivierbapteste/status/997118425351753728","0.0","2.0","93","23.0","['abeilles']","Je suis allée faire un tour pour regarder les hausses. Je suis perplexe. Les zab ne sont pas dans les hausses. Et zut #abeilles"
"BeeApi_Asso","0.0","['EDFCHINON']","https://www.twitter.com/BeeApi_Asso/status/997226404772229120","0.0","0.0","0","0.0","['Apiculture', 'abeilles', 'biodiversité', 'miel', 'partenariatCPIE', 'partenariatEDF']","Ce soir, devant @EDFCHINON , elles sont arrivées, elles sont nombreuses, elles sont fabuleuses. #partenariatEDF #partenariatCPIE #Apiculture #abeilles #miel #biodiversité"
"UtopLib","0.0","","https://www.twitter.com/UtopLib/status/997217656079044613","0.0","705.0","165","72.0","['19mai', 'Monsanto', 'OGM', 'Sygenta', 'abeilles', 'bayer', 'pesticides']","#OGM #pesticides #abeilles #Monsanto #bayer #Sygenta Et on n'oublie pasque samedi #19mai on se retrouve dans la rue pour défendre la biodiversité 🐞🦗🐝🦋🌻🌍 https://www.facebook.com/StopMonsantoMarseille/ …"
"ID_LinfoDurable","1.0","","https://www.twitter.com/ID_LinfoDurable/status/997152408923975680","1.0","0.0","0","0.0","['abeilles']","Une cagnotte lancée par un apiculteur après l’intoxication de deux millions d’#abeilles. https://bit.ly/2rM22sk "
"TerroirDirect","0.0","['MarianneleMag']","https://www.twitter.com/TerroirDirect/status/997074459885436928","1.0","530.0","952","86.0","['Europe', 'abeilles', 'agriculture', 'néonicotinoïdes']","✔ Abeilles 🐝 Agriculteurs d'Europe, nous appelons l'Union européenne à sauver les #abeilles #agriculture #néonicotinoïdes #Europe 🇪🇺 https://www.marianne.net/debattons/tribunes/agriculteurs-d-europe-nous-appelons-l-union-europeenne-sauver-les-abeilles … @MarianneleMag"
"ITSAPinstitut","0.0","","https://www.twitter.com/ITSAPinstitut/status/997040288181964800","0.0","0.0","364","219.0","['abeilles', 'apiculture']","Diversité des pratiques de gestion du cheptel dans les exploitations apicoles professionnelles. Conditions pédoclimatiques, ressources florales, objectifs de production... #abeilles #apiculture"
"sysimple61","0.0","","https://www.twitter.com/sysimple61/status/997067504840306688","0.0","0.0","0","0.0","['abeilles']","Sauvons les abeilles, ruche à ton nom. #abeilles"
"AgatheMirandum","1.0","","https://www.twitter.com/AgatheMirandum/status/997008354479431680","1.0","0.0","0","0.0","['JeudiPhoto', 'abeilles', 'photo', 'photography']","Bonjour toutes et tous 💝🐝 #photography #photo #abeilles #JeudiPhoto 📝📷 personnels Elle est la fée gardienne de la Vie Elle est, des fleurs, la plus précieuse amie 🐝 📝📷 C.D.K."
"Loovenelle","0.0","","https://www.twitter.com/Loovenelle/status/996030719536369664","0.0","1794.0","1585","1480.0","['Châteauroux', 'ProtégeonsNosAbeilles', 'abeilles']","#Châteauroux : on vandalise les #abeilles - France 3 Centre-Val de Loire #ProtégeonsNosAbeilles"
"cromwellmgtca","0.0","","https://www.twitter.com/cromwellmgtca/status/996031634997698560","0.0","3.0","19","129.0","['abeilles', 'colonie', 'mites', 'ruches']","Des colonies d'abeilles décimées... 🐝🐝🐝 Nous sommes de tout coeur avec la miellerie -Les Trois Acres- suite à la perte de 80% de leur ruches. Vous pouvez les aider. Visitez leur page Facebook, aimez et partagez : https://www.facebook.com/les3acres/  #ruches #abeilles #colonie #mites"
"Fabien_Nguyen","0.0","","https://www.twitter.com/Fabien_Nguyen/status/996142175955058689","0.0","873.0","191","296.0","['Ariège', 'DeveloppementDurable', 'abeilles', 'environnement', 'épandage']","En #Ariège, un #épandage décime deux millions d’#abeilles en une journée https://www.20minutes.fr/planete/2270415-20180514-ariege-apres-avoir-perdu-deux-millions-abeilles-cause-epandage-mobilise-contre-phytosanitaires … #DeveloppementDurable #environnement"
"leytiam","0.0","","https://www.twitter.com/leytiam/status/996006543836565504","0.0","6107.0","1442","1409.0","['Apithérapie', 'Aromathérapie', 'abeilles', 'citron', 'fleurs', 'hiver', 'huiles', 'miel', 'nature', 'pollinisation', 'vie']","J’utilise le #miel comme support pour absorber #huiles essentielles. Ce matin, j'ai continué 1cure d #citron bénéfique en ct période d purification après #hiver gourmand. #Apithérapie/#Aromathérapie = #nature, #fleurs, #pollinisation, #abeilles, #vie 🐝🌸🌞"
"fredelpress","0.0","","https://www.twitter.com/fredelpress/status/995991155039928320","0.0","0.0","0","0.0","['StopPesticides', 'abeilles']","Retweeted FNH (@FondationNH): Effondrement des colonies d’ #abeilles : nous appelons le gouvernement à prendre des mesures d’urgence #StopPesticides"
"PNUDMaroc","1.0","['PECSMD']","https://www.twitter.com/PNUDMaroc/status/995990179256197120","0.0","183.0","868","159.0","['EconomieCirculaire', 'SoussMassaDraa', 'abeilles', 'biodiversité']","Retour vidéo sur le forum ""les services de pollinisation des #abeilles"" organisé par le projet #EconomieCirculaire pour la conservation de l'agro-#biodiversité dans le #SoussMassaDraa @PECSMD , 10-12 mai à l'occasion de la Journée mondiale des abeilles:"
"scroontch","0.0","","https://www.twitter.com/scroontch/status/995947688100278272","0.0","6695.0","2611","530.0","['abeilles']","Mon cher beau-frère se bat pour les #abeilles qu’il a perdu mais aussi pour le devenir de nos descendances..."
"FestimagesNatur","0.0","['saintberthevin']","https://www.twitter.com/FestimagesNatur/status/996020571044483077","0.0","2528.0","598","946.0","['SaintBerthevin', 'abeilles', 'apiculteur', 'apiculture', 'bees', 'fleurs', 'honey', 'miel', 'rucher', 'réfractomètre']","Génial ce #miel de printemps toutes #fleurs de ville #rucher partagé de Saint-Berthevin : mesure au #réfractomètre avec un taux d'humidité inférieur à 18 environ 17.5 (norme pour conservation <19) #SaintBerthevin #honey #bees #abeilles #apiculture #apiculteur @saintberthevin"
"Darkitty","0.0","","https://www.twitter.com/Darkitty/status/996118417441685504","0.0","456.0","330","375.0","['Toulouse', 'abeilles', 'fongicides', 'pesticides']","Au sud-ouest de #Toulouse, un apiculteur perd deux millions d'abeilles à cause d'un épandage https://actu.fr/?p=16783969  #abeilles #pesticides #fongicides"
"hostabee","0.0","['AggloStQuentin']","https://www.twitter.com/hostabee/status/996065347173322752","0.0","3177.0","699","470.0","['abeilles', 'apiculture', 'rucheconnectee', 'savetheebees']","Triste journée pour nos #abeilles 🐝 aucune activité devant les ruches aujourd'hui @AggloStQuentin #apiculture #rucheconnectee #savetheebees"
"Lac_Simon","0.0","","https://www.twitter.com/Lac_Simon/status/997075355046498309","0.0","0.0","760","688.0","['abeilles', 'savethebees']","22 fleurs mellifères à planter dans son jardin pour sauver les #abeilles: Face à l'inquiétante diminution des populations d'abeilles, nous avons tous les moyens d'agir. À commencer par ce que nous choisissons de planter dans notre jardin https://positivr.fr/sauver-abeilles-jardin-fleurs-plantes-melliferes/ … #savethebees"
"petatJM","0.0","","https://www.twitter.com/petatJM/status/997071580290207744","0.0","441.0","282","318.0","['Fipronil', 'abeilles', 'agribashing', 'marketingdelapeur']","Le Tribunal de l'UE annule les restrictions sur l'usage du #Fipronil #agribashing #marketingdelapeur #abeilles -"
"cesagonchu","0.0","['letemps']","https://www.twitter.com/cesagonchu/status/997059001861877761","0.0","0.0","0","0.0","['abeilles', 'écologie']","#écologie La justice européenne confirme l’interdiction d’insecticides nocifs pour les #abeilles https://www.letemps.ch/sciences/justice-europeenne-confirme-linterdiction-dinsecticides-nocifs-abeilles?utm_source=twitter&utm_medium=share&utm_campaign=article … via @letemps"
"Anneso_de_PN","0.0","","https://www.twitter.com/Anneso_de_PN/status/997105438465257473","0.0","10.0","327","286.0","['Dieppe', 'abeilles', 'apiculteurs']","Les #apiculteurs de la région dieppoise plutôt sereins sur la santé des #abeilles locales #Dieppe"
"NatProBe","0.0","","https://www.twitter.com/NatProBe/status/996264015759400960","0.0","84.0","284","957.0","['Jesauvelesabeilles', 'Jesèmedesfleurs', 'abeilles', 'mellifères']","#Jesèmedesfleurs #Jesauvelesabeilles Les plantes #mellifères sont des sources de pollen (les seules protéines des abeilles) et de nectar pour les insectes butineurs, permettant de répondre à leurs besoins alimentaires et d’allonger leur durée de vie. 🌸🌻🏵️🌸🌻🌺#abeilles"
"VilleThionville","0.0","","https://www.twitter.com/VilleThionville/status/996277247379030016","0.0","56.0","829","273.0","['Animations', 'Thionville', 'abeilles', 'informer', 'sensibiliser']","#Animations à la découverte du monde des #abeilles 🐝 La fête à Rosy du 15 mai au 2 juin. #informer #sensibiliser #Thionville Voir le programme complet : https://lc.cx/WvVs "
"29aatea","1.0","","https://www.twitter.com/29aatea/status/996296463368978432","0.0","18969.0","463","665.0","['abeilles', 'agribashing', 'agriculteurs']","en se préoccupantplutôt de la cause principal de la mortalité des #abeilles au lieu de stigmatiser les #agriculteurs et en faisant de l' #agribashing ? http://ma-ruche.fr/5-facteurs-de-mortalite/ … LES 5 FACTEURS DE MORTALITÉ DE L’ABEILLE Le Varroa Destructor cause principale de l’affaiblissement ..."
